날짜,년,월,년월,총 입도객,렌터카 가동률,전세버스 가동률,총 입도객_norm,렌터카 가동률_norm,전세버스 가동률_norm,관광 포화 지수
2023-01-01,2023,1,202301,1032565,71.1,12.2,0.40751115364558865,0.5641025641025643,0.08443271767810023,0.3520154784754177
2023-02-01,2023,2,202302,1054299,72.7,13.9,0.4509349482227094,0.6461538461538465,0.12928759894459102,0.408792131107049
2023-03-01,2023,3,202303,1069614,68.8,30.8,0.48153379859303236,0.44615384615384635,0.575197889182058,0.5009618446429789
2023-04-01,2023,4,202304,1157268,71.7,38.8,0.6566635165401622,0.5948717948717954,0.7862796833773087,0.6792716649297553
2023-05-01,2023,5,202305,1180708,68.3,43.0,0.7034958412336239,0.4205128205128208,0.8970976253298153,0.6737020956920867
2023-06-01,2023,6,202306,1156180,74.3,26.7,0.6544897294554142,0.7282051282051283,0.4670184696569921,0.6165711091058449
2023-07-01,2023,7,202307,1136079,73.3,13.3,0.614328613471486,0.6769230769230772,0.11345646437994722,0.46823605159150344
2023-08-01,2023,8,202308,1178442,77.8,14.8,0.6989684501177802,0.907692307692308,0.15303430079155672,0.5865650195338816
2023-09-01,2023,9,202309,1115308,70.7,26.1,0.5728288602202958,0.5435897435897439,0.4511873350923483,0.5225353129674627
2023-10-01,2023,10,202310,1188698,71.6,46.9,0.71945959013724,0.5897435897435899,1.0,0.7697343932936099
2023-11-01,2023,11,202311,1078194,69.3,27.9,0.49867634747826717,0.4717948717948719,0.4986807387862796,0.4897173193531395
2023-12-01,2023,12,202312,1023174,70.4,15.7,0.38874825427714566,0.528205128205129,0.17678100263852242,0.364578128373599
2024-01-01,2024,1,202401,1054690,72.4,11.3,0.45171615295629053,0.6307692307692312,0.06068601583113459,0.3810571331855521
2024-02-01,2024,2,202402,1012661,70.9,11.6,0.36774363697755685,0.5538461538461545,0.06860158311345643,0.3300637913123893
2024-03-01,2024,3,202403,1083836,70.8,25.1,0.509948872048255,0.548717948717949,0.42480211081794195,0.494489643861382
2024-04-01,2024,4,202404,1234668,72.6,38.7,0.8113060903999729,0.641025641025641,0.7836411609498681,0.745324297458494
2024-05-01,2024,5,202405,1267892,72.4,41.5,0.8776865151275999,0.6307692307692312,0.8575197889182058,0.7886585116050123
2024-06-01,2024,6,202406,1188378,73.0,24.9,0.7188202409946673,0.6615384615384619,0.4195250659630606,0.5999612561653965
2024-07-01,2024,7,202407,1216963,72.9,15.5,0.7759321011210587,0.6564102564102572,0.17150395778364114,0.534615438438319
2024-08-01,2024,8,202408,1299920,79.4,17.0,0.941677372434861,0.9897435897435902,0.21108179419525064,0.7141675854579006
2024-09-01,2024,9,202409,1145240,71.2,29.0,0.6326319806437044,0.5692307692307699,0.5277044854881267,0.5765224117875336
2024-10-01,2024,10,202410,1205654,69.8,44.3,0.7533371028293194,0.49743589743589745,0.9313984168865435,0.7273904723839202
2024-11-01,2024,11,202411,1049112,67.6,28.2,0.4405714982148172,0.3846153846153846,0.5065963060686016,0.4439277296329345
2024-12-01,2024,12,202412,1008336,69.4,13.7,0.3591024337224704,0.47692307692307745,0.12401055408970973,0.3200120215784192
2025-01-01,2025,1,202501,984715,63.5,9.0,0.3119084771702407,0.17435897435897463,0.0,0.16208915050973846
2025-02-01,2025,2,202502,828602,60.8,9.4,0.0,0.03589743589743577,0.010554089709762543,0.015483841869066104
2025-03-01,2025,3,202503,932935,60.1,22.7,0.20845379403766962,0.0,0.36147757255936674,0.1899771221990121
2025-04-01,2025,4,202504,1143910,68.3,39.6,0.629974685769886,0.4205128205128208,0.8073878627968338,0.6192917896931802
2025-05-01,2025,5,202505,1252408,71.0,39.2,0.8467500084913557,0.5589743589743592,0.7968337730870714,0.7341860468509287
2025-06-01,2025,6,202506,1200051,74.0,27.2,0.742142498936083,0.7128205128205134,0.48021108179419525,0.6450580311835972
2025-07-01,2025,7,202507,1312159,75.2,19.1,0.9661304791722025,0.7743589743589747,0.26649076517150394,0.6689934062342271
2025-08-01,2025,8,202508,1329111,79.6,14.5,1.0,1.0000000000000004,0.14511873350923482,0.7150395778364117
